escenario,division_a,division_b,estilo_a,estilo_b,semilla,coincide_con_fotogramas,goles,goles_local,goles_visitante,tiros,posesion_pct,pases,perdidas,pases_intentados,faltas,penales,offsides,amarillas,rojas,ticks,resistencia_final_pct,mitades_cortadas,fotogramas,controlada_pct,pelota_parada_pct,posesiones,duracion_posesion_seg,recuperaciones_altas,recorrido_total_m,ms_sin_fotogramas,ms_con_fotogramas
D1 favorito,1,4,Presion alta,Contragolpe,77191,true,6.0,6.0,0.0,10.0,55.9888579387187,40.0,11.0,55.0,3.0,0.0,0.0,1.0,0.0,960.0,93.0585454545455,0.0,960.0,50.5649717514124,26.25,27.0,3.31481481481481,4.0,17924.6114843169,307.845,355.715
D1 favorito,1,4,Presion alta,Contragolpe,77204,true,5.0,5.0,0.0,10.0,61.7250673854447,38.0,14.0,49.0,7.0,0.0,0.0,3.0,1.0,988.0,89.7563636363636,0.0,988.0,53.9473684210526,30.7692307692308,29.0,3.18103448275862,9.0,16911.1421168085,283.784,312.476
D1 favorito,1,4,Presion alta,Contragolpe,77217,true,8.0,8.0,0.0,10.0,63.882618510158,34.0,18.0,51.0,2.0,0.0,0.0,1.0,0.0,997.0,88.66,0.0,997.0,60.2459016393443,26.579739217653,33.0,3.34090909090909,6.0,16101.2147529724,327.809,419.882
D1 favorito,1,4,Presion alta,Contragolpe,77230,true,2.0,2.0,0.0,8.0,57.6642335766423,36.0,11.0,51.0,4.0,1.0,1.0,2.0,0.0,977.0,91.6741818181818,0.0,977.0,53.0638852672751,21.4943705220061,33.0,3.08333333333333,5.0,19207.9648372785,357.032,380.083
D1 favorito,1,4,Presion alta,Contragolpe,77243,true,4.0,4.0,0.0,10.0,61.734693877551,34.0,17.0,51.0,6.0,0.0,0.0,5.0,1.0,1029.0,90.2374545454545,0.0,1029.0,56.0518731988473,32.555879494655,28.0,3.47321428571429,7.0,15543.7681092252,305.293,385.772
D1 tapado,4,1,Tiki taka,Juego directo,77100,true,5.0,0.0,5.0,13.0,50.5263157894737,47.0,15.0,65.0,1.0,0.0,1.0,0.0,0.0,1009.0,93.1894545454545,0.0,1009.0,52.7121001390821,28.7413280475719,32.0,2.9609375,6.0,18174.0072272158,346.556,395.716
D1 tapado,4,1,Tiki taka,Juego directo,77113,true,1.0,0.0,1.0,6.0,46.8085106382979,43.0,18.0,59.0,3.0,0.0,0.0,3.0,0.0,975.0,93.8832727272727,0.0,975.0,50.9135200974421,15.7948717948718,35.0,2.98571428571429,8.0,20605.5868432596,367.052,414.215
D1 tapado,4,1,Tiki taka,Juego directo,77126,true,2.0,0.0,2.0,8.0,47.3557692307692,45.0,15.0,61.0,3.0,0.0,0.0,2.0,0.0,976.0,94.6196363636363,0.0,976.0,51.1111111111111,17.0081967213115,30.0,3.45,6.0,20426.6209152029,378.418,385.897
D1 tapado,4,1,Tiki taka,Juego directo,77139,true,4.0,0.0,4.0,10.0,48.8636363636364,49.0,21.0,64.0,2.0,0.0,0.0,1.0,0.0,976.0,93.5592727272727,0.0,976.0,54.6816479400749,17.9303278688525,36.0,3.04166666666667,11.0,19794.6086075895,405.598,401.929
D1 tapado,4,1,Tiki taka,Juego directo,77152,true,6.0,0.0,6.0,13.0,40.6077348066298,37.0,18.0,57.0,0.0,0.0,0.0,0.0,0.0,960.0,93.1632727272727,0.0,960.0,51.4245014245014,26.875,35.0,2.57857142857143,6.0,18164.1948108446,330.709,346.636
D1 tapado,4,1,Tiki taka,Juego directo,77165,true,5.0,0.0,5.0,9.0,41.3333333333333,36.0,14.0,55.0,4.0,1.0,0.0,0.0,0.0,964.0,91.8247272727273,0.0,964.0,51.1724137931034,24.792531120332,30.0,3.09166666666667,7.0,18603.5336626125,350.011,352.837
D1 tapado,4,1,Tiki taka,Juego directo,77178,true,7.0,1.0,6.0,12.0,41.1764705882353,38.0,7.0,50.0,2.0,0.0,0.0,1.0,0.0,962.0,92.548,0.0,962.0,47.6261127596439,29.9376299376299,31.0,2.58870967741936,5.0,17970.4918271779,300.459,374.033
D1 tapado,4,1,Tiki taka,Juego directo,77191,true,2.0,1.0,1.0,4.0,53.1165311653117,43.0,11.0,60.0,3.0,1.0,2.0,0.0,0.0,974.0,95.464,0.0,974.0,48.9333333333333,22.9979466119097,29.0,3.16379310344828,6.0,18894.5997610727,321.871,390.777
D1 tapado,4,1,Tiki taka,Juego directo,77204,true,3.0,1.0,2.0,10.0,50.0,37.0,12.0,53.0,5.0,0.0,0.0,2.0,0.0,1001.0,91.7625454545454,0.0,1001.0,52.1917808219178,27.0729270729271,27.0,3.52777777777778,7.0,18692.8172637109,275.202,346.673
D1 tapado,4,1,Tiki taka,Juego directo,77217,true,1.0,0.0,1.0,8.0,57.2559366754617,44.0,17.0,62.0,3.0,0.0,1.0,1.0,0.0,995.0,93.3236363636364,0.0,995.0,50.334672021419,24.9246231155779,31.0,3.03225806451613,6.0,18119.1298709834,322.669,380.802
D1 tapado,4,1,Tiki taka,Juego directo,77230,true,1.0,0.0,1.0,5.0,42.9460580912863,31.0,21.0,51.0,4.0,0.0,0.0,1.0,0.0,970.0,88.8563636363636,0.0,970.0,60.613810741688,19.3814432989691,44.0,2.69318181818182,10.0,18473.6792301728,346.998,412.778
D1 tapado,4,1,Tiki taka,Juego directo,77243,true,4.0,0.0,4.0,12.0,49.8614958448754,42.0,13.0,59.0,2.0,0.0,1.0,1.0,0.0,969.0,92.9210909090909,0.0,969.0,50.4922644163151,26.625386996904,29.0,3.0948275862069,4.0,17335.1674925068,365.863,352.386
