escenario,division_a,division_b,estilo_a,estilo_b,semilla,coincide_con_fotogramas,goles,goles_local,goles_visitante,tiros,posesion_pct,pases,perdidas,pases_intentados,faltas,penales,offsides,amarillas,rojas,ticks,resistencia_final_pct,mitades_cortadas,fotogramas,controlada_pct,pelota_parada_pct,posesiones,duracion_posesion_seg,recuperaciones_altas,recorrido_total_m,ms_sin_fotogramas,ms_con_fotogramas
D1 tapado,4,1,Tiki taka,Juego directo,77178,true,2.0,0.0,2.0,12.0,46.1756373937677,36.0,18.0,54.0,3.0,0.0,0.0,1.0,0.0,969.0,94.5443636363636,0.0,969.0,48.127600554785,25.593395252838,37.0,2.34459459459459,9.0,18524.0868137683,288.277,304.162
D1 tapado,4,1,Tiki taka,Juego directo,77191,true,2.0,0.0,2.0,3.0,49.4071146245059,46.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,965.0,90.8134545454545,0.0,965.0,57.2077185017026,8.70466321243523,38.0,3.31578947368421,7.0,21398.0826229749,328.938,364.516
D1 tapado,4,1,Tiki taka,Juego directo,77204,true,5.0,0.0,5.0,9.0,41.108545034642,42.0,17.0,54.0,3.0,0.0,0.0,0.0,0.0,1003.0,90.604,0.0,1003.0,56.8783068783069,24.6261216350947,34.0,3.16176470588235,6.0,17707.3741399126,305.521,334.849
D1 tapado,4,1,Tiki taka,Juego directo,77217,true,5.0,1.0,4.0,10.0,37.5,39.0,11.0,46.0,1.0,0.0,0.0,0.0,0.0,1036.0,88.3589090909091,0.0,1036.0,58.6787564766839,25.4826254826255,33.0,3.43181818181818,5.0,15485.7487420371,294.807,324.349
D1 tapado,4,1,Tiki taka,Juego directo,77230,true,2.0,0.0,2.0,10.0,49.2407809110629,35.0,23.0,51.0,3.0,0.0,0.0,1.0,0.0,975.0,89.0756363636364,0.0,975.0,57.6292559899117,18.6666666666667,41.0,2.78658536585366,11.0,18785.7716052024,288.435,328.341
D1 tapado,4,1,Tiki taka,Juego directo,77243,true,7.0,0.0,7.0,10.0,34.3832020997375,44.0,12.0,54.0,3.0,1.0,0.0,2.0,0.0,990.0,90.0967272727273,0.0,990.0,53.6376604850214,29.1919191919192,30.0,3.13333333333333,5.0,16221.2040382272,271.869,307.779
D1 tapado,4,1,Presion alta,Contragolpe,77100,true,2.0,0.0,2.0,10.0,51.131221719457,38.0,21.0,52.0,3.0,1.0,0.0,0.0,0.0,1006.0,87.1741818181818,0.0,1006.0,55.8109833971903,22.1669980119284,35.0,3.12142857142857,9.0,17823.7317173974,286.869,318.278
D1 tapado,4,1,Presion alta,Contragolpe,77113,true,6.0,0.0,6.0,9.0,43.5897435897436,38.0,24.0,51.0,2.0,0.0,0.0,2.0,0.0,1044.0,88.2803636363636,0.0,1044.0,60.0515463917526,25.6704980842912,38.0,3.06578947368421,5.0,17407.7199014983,294.421,332.298
D1 tapado,4,1,Presion alta,Contragolpe,77126,true,3.0,0.0,3.0,7.0,53.2467532467532,37.0,16.0,48.0,3.0,1.0,0.0,1.0,0.0,960.0,92.8752727272727,0.0,960.0,49.8684210526316,20.8333333333333,32.0,2.9609375,8.0,18517.9637482266,277.566,308.147
D1 tapado,4,1,Presion alta,Contragolpe,77139,true,6.0,0.0,6.0,13.0,47.7083333333333,40.0,27.0,53.0,3.0,0.0,0.0,3.0,0.0,1003.0,87.1349090909091,0.0,1003.0,66.0664819944598,28.0159521435693,42.0,2.83928571428571,12.0,16719.2145395632,284.913,321.61
D1 tapado,4,1,Presion alta,Contragolpe,77152,true,2.0,0.0,2.0,14.0,57.3099415204678,41.0,22.0,51.0,2.0,0.0,0.0,2.0,0.0,967.0,89.3669090909091,0.0,967.0,61.9393939393939,14.6845915201655,40.0,3.19375,9.0,20091.7168112138,317.447,333.534
D1 tapado,4,1,Presion alta,Contragolpe,77165,true,6.0,0.0,6.0,13.0,55.5012224938875,39.0,21.0,51.0,3.0,0.0,0.0,0.0,0.0,1000.0,88.4014545454545,0.0,1000.0,56.5459610027855,28.2,35.0,2.9,11.0,16128.9609074887,276.338,312.974
D1 tapado,4,1,Presion alta,Contragolpe,77178,true,6.0,0.0,6.0,12.0,51.7676767676768,36.0,12.0,49.0,6.0,0.0,0.0,5.0,1.0,985.0,89.4749090909091,0.0,985.0,58.0357142857143,31.7766497461929,29.0,3.36206896551724,5.0,15656.9982638139,252.274,283.735
D1 tapado,4,1,Presion alta,Contragolpe,77191,true,1.0,0.0,1.0,5.0,49.8997995991984,40.0,17.0,50.0,1.0,1.0,0.0,1.0,0.0,960.0,91.0098181818182,0.0,960.0,58.3138173302108,11.0416666666667,32.0,3.890625,3.0,21230.1345871269,309.375,338.882
D1 tapado,4,1,Presion alta,Contragolpe,77204,true,5.0,0.0,5.0,9.0,55.045871559633,34.0,25.0,45.0,1.0,0.0,0.0,1.0,0.0,960.0,88.5945454545455,0.0,960.0,58.5135135135135,22.9166666666667,43.0,2.51744186046512,8.0,18115.3320087147,276.897,309.914
D1 tapado,4,1,Presion alta,Contragolpe,77217,true,5.0,0.0,5.0,10.0,53.8659793814433,29.0,17.0,42.0,5.0,0.0,0.0,3.0,0.0,1007.0,88.7287272727273,0.0,1007.0,57.3795180722892,34.0615690168818,30.0,3.175,6.0,15721.7390209803,258.908,289.973
